date,amount,type,category,subcategory,description,payment_mode,is_fixed_expense,recurring_frequency,recurring_id,is_anomaly,month,day_of_week,is_weekend
2023-01-01,53977.0,Income,Salary,Monthly Salary,Salary Credited,Bakn,False,,,False,1,Sunday,True
2023-01-02,921.47,Expense,Repairs,Laptop Repair,Laptop Repair - Repairs,Card,False,,,False,1,Monday,False
2023-01-02,861.6,Expense,Entertainment,Movie,Movie - Entertainment,UPI,False,,,True,1,Monday,False
2023-01-02,4200.0,Expense,Mess Fee,Monthly Mess,Mess Monthly Fee,UPI,True,Monthly,RECUR_002,False,1,Monday,False
2023-01-02,51.71,Expense,Travel-Public,Metro,Metro - Travel-Public,UPI,False,,,False,1,Monday,False
2023-01-02,479.05,Expense,Food-Retsaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Monday,False
2023-01-03,1392.08,Expense,Repairs,Laptop Repair,Laptop Repair - Repairs,Acrd,False,,,False,1,Tuesday,False
2023-01-03,174.73,Expense,Miscellaneous,Misc,Misc - Miscellaneous,Card,False,,,False,1,Tuesday,False
2023-01-03,535.68,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Tuesday,False
2023-01-04,29.81,Expense,Food-Snacks,Tea,Tea - Food-Snacks,UPI,False,,,False,1,Wednesday,False
2023-01-04,31.96,Expense,Food-Snacks,Coffee,Coffee - Food-Snacks,UPI,False,,,False,1,Wednesday,False
2023-01-04,144.05,Expense,Medical,Pharmacy,Pharmacy - Medical,UPI,False,,,False,1,Wednesday,False
2023-01-04,146.76,Expense,Stationery,Stationery,Stationery - Stationery,Card,False,,,False,1,Wednesday,False
2023-01-04,91.23,Expense,Food-Snacks,Sandwich,Sandwich - Food-Snacks,UPI,False,,,False,1,Wednesday,False
2023-01-04,822.31,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Card,False,,,False,1,Wednesday,False
2023-01-05,372.64,Expense,Groceries,Local Kirana,Local Kirana - Groceries,Cash,False,,,False,1,Thursday,False
2023-01-05,10000.0,Expense,Rent,1Bhk Rent,Monthly Rent,Bank,True,Monthly,RECUR_001,False,1,Thursday,False
2023-01-05,672.09,Expense,Shopping-Other,Accessories,Accessories - Shopping-Other,UPI,False,,,False,1,Thursday,False
2023-01-05,122.75,Expense,Miscellaneous,Misc,Misc - Miscellaneous,Card,False,,,False,1,Thursday,False
2023-01-06,2200.0,Expense,Loan Emi,Personal Loan,Emi Payment,Bank,True,Monthly,RECUR_003,False,1,Friday,False
2023-01-06,201.87,Expense,Groceries,Big Abzaar,Big Bazaar - Groceries,Cash,False,,,False,1,Friday,False
2023-01-07,468.78,Expense,Groceries,Big Bazaar,No Description,UPI,False,,,False,1,Saturday,True
2023-01-07,184.08,Expense,Fruits & Household,Fruits,Fruits - Fruits & Household,UPI,False,,,False,1,Saturday,True
2023-01-07,841.47,Expense,Travel-Fuel,Feul,Fuel - Travel-Fuel,UPI,False,,,False,1,Saturday,True
2023-01-07,499.0,Expense,Insurance,Health Insurance,Monthly Insurance,UPI,True,Monthly,RECUR_004,False,1,Saturday,True
2023-01-08,335.68,Expense,Medical,Pharmacy,Pharmacy - Medical,UPI,False,,,False,1,Sunday,True
2023-01-08,369.89,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-08,425.08,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-08,1913.22,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,UPI,False,,,True,1,Sunday,True
2023-01-08,394.44,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-08,399.0,Expense,Phone Recharge,Mobile Plan,Monthly Recharge,UPI,True,Monthly,RECUR_005,False,1,Sunday,True
